ds,yhat,yhat_lower,yhat_upper
2023-05-08,13682.638186977128,2236.5854341264517,24555.714140767504
2023-05-09,15021.107640612341,3561.870173566554,26516.871402472316
2023-05-10,12097.317848046812,68.23389825925331,23646.58009408271
2023-05-11,15014.670000193884,2965.606068583406,26405.133239245093
2023-05-12,15913.63878336891,4435.5121240484505,27135.87105091595
2023-05-13,12867.666930267624,545.519247436263,23445.377518102196
2023-05-14,15089.822291996512,3878.6008945174162,26906.44656980341
2023-05-16,15283.85576201755,3890.064226895744,26441.04218299123
2023-05-17,12437.013396741515,1252.7733708659227,24241.285976401337
2023-05-18,15412.059643177105,4071.8088923645328,26848.893252396243
2023-05-19,16347.391389949793,4768.241659042038,27818.30228187666
2023-05-20,13315.046850140958,1918.8611369090443,24011.400923178746
2023-05-21,15527.41655484449,3323.9934025530774,26336.86549290176
2023-05-22,14256.341152339093,2275.157819871368,25974.648092506664
2023-05-23,15632.72727867686,4850.485595856589,26107.84652998694
2023-05-24,12709.386894316836,1758.5370622221305,23626.944048087513
2023-05-25,15589.342109188194,3556.0353841111964,27123.100845610177
2023-05-26,16413.93294757282,4741.94923319308,27047.92965886368
2023-05-27,13258.698553158141,2505.8045617452976,24169.560844952863
2023-05-28,15339.98438699869,3329.3393578173336,26466.293300656034
2023-05-29,13933.920539817898,2238.733493893902,25342.22775786384
2023-05-30,15175.905971117845,4630.981485178947,25737.272319719832
2023-05-31,12123.308031499495,461.6212223325869,23563.553552276226
2023-06-01,14883.623539612148,3566.8025165702543,26163.724248145616
2023-06-02,15602.443289773844,4713.106762513728,26960.84307833003
2023-06-03,12359.194939534167,40.407486852533005,23884.46545421523
2023-06-04,14373.621175855273,3075.070267379748,25084.5063647558
2023-06-05,12924.642389579227,1753.9619534338203,23943.635548548795
2023-06-06,14149.742409901502,3267.411860646307,25261.20682570636
2023-06-07,11107.589911386813,-155.6008979728715,23224.088265978524
2023-06-08,13906.144432348863,2427.6645513957333,25567.36705211927
2023-06-09,14690.59087331355,3741.066997253037,26240.282782809045
2023-06-10,11539.07867550385,107.8768355515739,23125.787345437264
2023-06-11,13669.223043270267,1790.1763571634572,24069.130111568687
2023-06-12,12357.017095577852,1181.7217278047308,24195.280725897697
2023-06-13,13736.292350775891,2306.796491127305,24895.389908620586
2023-06-14,10861.438231130353,-615.9514384023184,21538.12492410637
2023-06-15,13835.626871072707,2280.0220594867947,25107.917539127033
2023-06-17,11823.97678981076,864.7312605765355,22588.082461612
2023-06-18,14123.076033258812,2852.02156998985,25017.807932097974
2023-06-19,12966.829700900562,1527.1312514861809,24576.531280370527
2023-06-20,14483.98764688468,3296.3362614355633,26250.2241315986
2023-06-21,11724.27895654235,181.0264498096611,23191.300018597896
2023-06-22,14786.784883734208,3343.8016115145924,26257.56403097814
2023-06-23,15808.143199844466,4854.733459512714,26972.303633907963
2023-06-24,12858.552131385213,2064.003123035371,23808.378968439392
2023-06-25,15148.523283462879,4231.613270420369,25745.126724671736
2023-06-26,13948.024761631046,2540.4658469548494,25888.13261072894
2023-06-27,15386.144748845001,4116.385920700494,25369.652577132983
2023-06-28,12513.979817543366,1189.7027314117472,23594.5542122003
2023-06-29,15432.988796443582,4063.4419919755082,27804.20264051068
2023-06-30,16283.148396240547,5707.6374173770555,28061.291080275074
2023-07-01,13138.87981815777,2377.5145766575497,24335.792719900193
2023-07-02,15215.697634750657,3144.4302085491986,25878.11651412951
2023-07-03,13789.224844408784,2261.1590690346807,26003.61626702727
2023-07-04,14994.707770101251,2637.22715485002,26977.106174049095
2023-07-05,11889.739126640477,53.32408876602834,22667.528415694265
2023-07-06,14582.434636299018,2730.6543368755665,25639.151418673413
2023-07-07,15219.404348590055,4380.318723223218,26735.163976767064
2023-07-08,11881.493079612159,525.6726374277741,23834.262166546294
2023-07-09,13790.246558190485,2601.275009543921,25329.097178136395
2023-07-10,12226.752416475381,789.9726026418648,23471.418671568572
2023-07-11,13330.994726210143,2572.8947109515757,24917.76105392981
2023-07-12,10164.43508152818,-792.6605904154865,21250.98456779627
2023-07-13,12838.06979265854,1398.0964927735627,25121.61139367953
2023-07-14,13500.307913561364,2477.669729122661,25172.12687745096
2023-07-15,10232.64736994377,-978.056601519408,21571.222275543983
2023-07-16,12256.107810439778,1000.1871719091243,22917.56262513403
2023-07-17,10850.070489316486,-624.1665126457765,22064.588152452503
2023-07-18,12151.664142034033,-259.60141099000356,23537.550792030594
2023-07-19,9218.409195068934,-2430.651209173137,20532.391692553578
2023-07-20,12156.368309692578,894.3668541335272,23127.029644642393
2023-07-21,13108.145554261198,988.8385417400315,23975.85634044267
2023-07-22,10148.708245754098,-1826.4740849277116,21675.93554218864
2023-07-23,12491.98614957922,1810.2503499567918,25000.44499946038
2023-07-24,11409.893815071187,523.628476185147,21872.9297185473
2023-07-25,13031.910007799355,1816.8055641675776,24008.465927730264
2023-07-26,10407.921251709002,-2353.9189850677544,21640.236121276816
2023-07-27,13636.57197729141,1959.1947592318745,24737.067237017618
2023-07-28,14853.458047204482,4117.121020384168,27244.574588049905
2023-07-29,12127.132316679355,956.3713636667449,23556.416712383354
2023-07-30,14665.87182625134,3063.3844319349423,26386.83117530982
2023-07-31,13736.847753060125,2981.9301267350834,25699.781759890386
2023-08-01,15465.82800172314,4200.357241378653,26553.94055172277
2023-08-02,12900.116057697966,1651.3272467558916,23196.964454019726
2023-08-03,16136.965995044531,4528.7625472310565,27142.825501654715
2023-08-04,17311.808667060362,5331.659212497715,28071.98924365831
2023-08-05,14494.256903561842,3424.3012416534293,25771.245700659452
2023-08-06,16894.839414168433,5503.96608892902,28369.246054394942
2023-08-07,15784.105553558971,3832.3719017716994,27406.085606814748
2023-08-08,17292.232760821964,6758.740009282085,28127.52039134094
2023-08-09,14471.84306614933,3987.326252837076,26019.364033945698
2023-08-10,17426.272095435794,6124.681538981682,29273.97810615889
2023-08-11,18297.6297897581,6257.763941027408,29197.92960570795
2023-08-12,15162.6253954837,4321.993993073043,27628.334272619835
2023-08-13,17239.111551911494,5734.402698785017,29459.304590009382
2023-08-14,15804.995011630821,3892.66065692526,27266.590789312533
2023-08-15,16997.651278018904,5874.918009401794,29257.220947462523
2023-08-16,13876.554964221292,2805.6399888418555,24717.08175785724
2023-08-17,16551.37448843029,5197.099632371554,27519.535660901962
2023-08-19,13813.607417171914,2338.8205606481515,25194.56389950796
2023-08-20,15704.339032699094,3638.1477547512536,26730.141339735193
2023-08-21,14122.881244943936,1995.4619687082513,25233.359897756163
2023-08-22,15208.448747644987,3144.083938428355,27110.162708858126
2023-08-23,12021.266270604814,1097.6105324834427,23431.34509533578
2023-08-24,14670.670810530097,3947.933661070799,26265.64397923977
2023-08-25,15303.052957381733,4145.980464547664,26486.62055352215
2023-08-26,11997.612706922257,131.06623313404063,22810.17853807936
2023-08-27,13972.885945300104,2956.7074885882184,24422.662029655352
2023-08-29,13730.6168136189,2698.926284154982,25614.831757790496
2023-08-30,10702.803686388632,-595.2238545125372,22411.748232079022
2023-08-31,13526.190377817125,2861.3718468865372,24266.021514645396
2023-09-01,14341.63635708905,3031.4045333026434,25946.49063983545
2023-09-02,11222.847158936642,-237.65729464667567,22932.908577203456
2023-09-03,13383.067932232947,1725.691865592768,24906.38895354698
2023-09-04,12094.185542867932,793.1671178345574,23550.07154632269
2023-09-06,10610.960970962522,-769.0657136945138,21773.6390136135
2023-09-07,13568.836099356973,2243.5121366580015,24933.596050307664
2023-09-08,14498.602965451528,3498.2632818765906,26090.35523262068
2023-09-11,12463.6134148981,679.018579078801,24063.038060777395
2023-09-12,13884.316022574347,2424.6273657450724,25188.16003260636
2023-09-13,11018.932949036207,-789.2885720128214,22340.203273196712
2023-09-14,13971.026873136967,2278.37215654686,25407.697188448616
2023-09-15,14882.473200693843,3205.053330381612,26031.755748902553
2023-09-16,11829.310577247652,950.4710870879086,23787.417727659773
2023-09-17,14028.314814315198,2302.1476945283785,25256.689145562137
2023-09-18,12755.942755314885,884.1544182531519,24148.283489185393
2023-09-19,14147.782366561096,3981.973706474454,25145.519211213414
2023-09-20,11261.21989628861,384.6928403580027,23368.847002248283
2023-09-21,14203.571818984225,2881.983521778353,25811.924544066464
2023-09-22,15120.024795266885,5366.026841758426,26299.690557359856
2023-09-23,12089.35980894913,298.798058764406,23606.11840931382
2023-09-24,14330.41840723513,2486.1649637477894,25737.58022671633
2023-09-25,13120.96107488345,2677.901714940919,24829.41636598317
2023-09-26,14597.056841374044,3100.5197174557825,25880.30849674776
2023-09-27,11815.716999252287,971.1124687817797,23485.4720405491
2023-09-28,14883.021847691241,3641.254315185705,26442.734520002738
2023-09-29,15942.084006058303,4611.51808755633,27517.361635657657
2023-09-30,13068.823882277335,1527.8943340336903,23216.548141882733
2023-10-01,15478.513767905508,4070.9635445454264,26565.8248239875
2023-10-02,14444.738300424004,3241.462903540036,25049.908500157504
2023-10-04,13493.030359591157,2108.897089440725,24936.751844183415
2023-10-05,16727.997093749615,4677.962819279947,26421.63596707044
2023-10-07,15204.990532569047,4096.318827515158,26394.432538570516
2023-10-08,17728.356729995103,6557.011853334706,29609.59515798416
2023-10-09,16781.070860778247,6081.485666488133,28377.458368339423
2023-10-10,18490.832075125556,7215.742420715357,29753.828650669497
2023-10-11,15906.672225056438,5024.183600032928,26960.770528183606
2023-10-12,19127.344069553485,8026.0079590658825,30809.920147141893
2023-10-13,20289.530135768735,9161.142779504618,31572.85715885207
2023-10-14,17463.839939157428,6363.2064079161255,28397.113901083634
2023-10-15,19861.544822037944,9339.833122859198,31187.787938624424
2023-10-16,18753.691834673624,6939.210552561471,30067.727843352164
2023-10-18,17465.336490174577,5646.069462227727,28336.802158129976
2023-10-19,20440.737734404443,9470.116109556559,32504.004186919836
2023-10-20,21338.774899592336,9203.371190521351,32532.486693445142
2023-10-21,18235.773024120845,6584.1400388406555,29398.133771461526
2023-10-22,20349.114125656335,9355.72810271646,31019.491581656792
2023-10-23,18956.177965800754,7989.250990777026,30264.840483224296
2023-10-24,20193.783863961293,8898.716870399356,31509.704125209402
2023-10-26,19846.476868605445,8308.123954133795,30963.573224571115
2023-10-27,20517.921020137204,9413.769453852316,31661.4364556593
2023-10-28,17216.230725711357,5669.65557686593,28753.399533416206
2023-10-29,19162.70663926315,6768.439525884972,31355.97127432821
2023-10-30,17637.715207108988,6064.8716432232495,29096.211298796825
2023-10-31,18780.035605774952,7001.29447511523,29855.700620886655
2023-11-01,15649.448119510866,4561.441470431674,26974.73520714955
2023-11-02,18354.813882924667,6979.310548444119,29273.686959695406
2023-11-03,19041.990653076587,7113.26449958869,30303.001399651755
2023-11-05,17815.333371899833,6480.170478251584,28674.29964508146
2023-11-06,16395.256796965285,4557.229868970481,27355.252295542945
2023-11-07,17662.900199677326,6703.564936573621,29170.43237763691
2023-11-08,14672.192916516917,3391.2067812617943,25724.6585245348
2023-11-09,17525.680303693145,5864.823057699374,28599.60005685004
2023-11-10,18362.6314139875,7152.440736453208,30034.525534768043
2023-11-11,15254.970427283375,4202.767376210491,26127.990701375104
2023-11-12,17413.98367154729,6985.433496035615,29336.039923735654
2023-11-13,16109.44512928278,4513.425081616455,27211.074763098637
2023-11-14,17469.29155286915,6870.041818349692,28512.14752761773
2023-11-15,14542.551485307604,2921.4430450607524,25861.994831681623
2023-11-16,17427.768158818242,6549.820080836198,28057.714639804144
2023-11-17,18261.25078216867,5940.852131468796,29959.00920454194
2023-11-18,15113.120938257794,3393.6013975328515,26667.283657962606
2023-11-19,17194.102134998986,6331.147421637794,27573.953046286464
2023-11-20,15774.692506660182,4243.124410176837,27331.904302256073
2023-11-22,13876.892641336995,1710.549012912306,24162.55436561606
2023-11-23,16553.856624459797,5070.98329219861,26879.374669464654
2023-11-24,17157.643833310016,6206.920838217458,28564.363908376803
2023-11-25,13764.93213733191,3091.30598284241,25173.717443096793
2023-11-26,15593.797369185124,4786.836442429214,26698.296341560967
2023-11-27,13922.692147766431,2928.3195019091027,26060.925305954544
2023-11-28,14889.915767219394,3062.06508909528,26489.247182869687
2023-11-29,11556.284387021562,485.1833057778756,23223.05337115711
2023-11-30,14033.248032675445,2085.964892333441,25320.015202486775
2023-12-01,14470.796882263516,3035.2382321574914,26121.917696615983
2023-12-02,10953.132740379604,-219.3720775180001,22235.724592723567
2023-12-03,12705.063888449551,1266.6456545648493,24085.493248804538
2023-12-04,11010.774142876857,-767.8712287697086,22456.25837546504
2023-12-05,12013.106556646719,1229.823074098308,23272.06269052261
2023-12-06,8776.076500661384,-2266.1735826176814,20314.368436500354
2023-12-07,11412.865382165986,450.4371446749471,22137.262086071736
2023-12-08,12073.641331547016,633.0453253843549,22557.6343190648
2023-12-10,10937.284659305733,-333.47453066121363,22852.2535333751
2023-12-11,9641.539292312085,-1093.3852430868642,20577.075532979885
2023-12-12,11090.730775392705,-235.84049852045095,22332.545369946252
